Provinsi,Tahun,Produktivitas
Aceh,1970,29.93
Sumatera Utara,1970,26.96
Sumatera Barat,1970,23.32
Riau,1970,18.15
Jambi,1970,20.24
Sumatera Selatan,1970,16.67
Bengkulu,1970,22.63
Lampung,1970,15.07
Kepulauan Bangka Belitung,1970,0
Kepulauan Riau,1970,0
Daerah Khusus Ibukota Jakarta,1970,12.36
Jawa Barat,1970,25.11
Jawa Tengah,1970,28.39
Daerah Istimewa Yogyakarta,1970,22.69
Jawa Timur,1970,28.73
Banten,1970,0
Bali,1970,27.59
Nusa Tenggara Barat,1970,20.4
Nusa Tenggara Timur,1970,10.13
Kalimantan Barat,1970,10.21
Kalimantan Tengah,1970,11.4
Kalimantan Selatan,1970,16.45
Kalimantan Timur,1970,17.06
Kalimantan Utara,1970,0
Sulawesi Utara,1970,20.95
Sulawesi Tengah,1970,14.29
Sulawesi Selatan,1970,24.31
Sulawesi Tenggara,1970,15.09
Gorontalo,1970,0
Sulawesi Barat,1970,0
Maluku,1970,7.83
Maluku Utara,1970,0
Papua Barat,1970,0
Papua,1970,18.57
Aceh,1971,22.71
Sumatera Utara,1971,27.26
Sumatera Barat,1971,24.43
Riau,1971,13.92
Jambi,1971,18.77
Sumatera Selatan,1971,16.73
Bengkulu,1971,21.76
Lampung,1971,16.45
Kepulauan Bangka Belitung,1971,0
Kepulauan Riau,1971,0
Daerah Khusus Ibukota Jakarta,1971,14.97
Jawa Barat,1971,26.77
Jawa Tengah,1971,29.37
Daerah Istimewa Yogyakarta,1971,25.34
Jawa Timur,1971,29.17
Banten,1971,0
Bali,1971,29.93
Nusa Tenggara Barat,1971,16.67
Nusa Tenggara Timur,1971,13.88
Kalimantan Barat,1971,10.34
Kalimantan Tengah,1971,13.06
Kalimantan Selatan,1971,15.96
Kalimantan Timur,1971,12.89
Kalimantan Utara,1971,0
Sulawesi Utara,1971,22.88
Sulawesi Tengah,1971,13.52
Sulawesi Selatan,1971,24.46
Sulawesi Tenggara,1971,15.46
Gorontalo,1971,0
Sulawesi Barat,1971,0
Maluku,1971,10.58
Maluku Utara,1971,0
Papua Barat,1971,0
Papua,1971,18.51
Aceh,1972,29.01
Sumatera Utara,1972,28.54
Sumatera Barat,1972,25.29
Riau,1972,14.01
Jambi,1972,19.94
Sumatera Selatan,1972,15.63
Bengkulu,1972,21.97
Lampung,1972,16.49
Kepulauan Bangka Belitung,1972,0
Kepulauan Riau,1972,0
Daerah Khusus Ibukota Jakarta,1972,17.58
Jawa Barat,1972,26.32
Jawa Tengah,1972,27.59
Daerah Istimewa Yogyakarta,1972,24.5
Jawa Timur,1972,29.61
Banten,1972,0
Bali,1972,31.89
Nusa Tenggara Barat,1972,19.54
Nusa Tenggara Timur,1972,10.21
Kalimantan Barat,1972,10.63
Kalimantan Tengah,1972,13.3
Kalimantan Selatan,1972,10.68
Kalimantan Timur,1972,17.53
Kalimantan Utara,1972,0
Sulawesi Utara,1972,20.78
Sulawesi Tengah,1972,17.56
Sulawesi Selatan,1972,24.82
Sulawesi Tenggara,1972,14.12
Gorontalo,1972,0
Sulawesi Barat,1972,0
Maluku,1972,8.42
Maluku Utara,1972,0
Papua Barat,1972,0
Papua,1972,18.84
Aceh,1973,29.5
Sumatera Utara,1973,28.79
Sumatera Barat,1973,27.59
Riau,1973,15.38
Jambi,1973,20.09
Sumatera Selatan,1973,17.48
Bengkulu,1973,22.69
Lampung,1973,18.22
Kepulauan Bangka Belitung,1973,0
Kepulauan Riau,1973,0
Daerah Khusus Ibukota Jakarta,1973,19.11
Jawa Barat,1973,27.25
Jawa Tengah,1973,29.53
Daerah Istimewa Yogyakarta,1973,24.95
Jawa Timur,1973,29.97
Banten,1973,0
Bali,1973,31.12
Nusa Tenggara Barat,1973,24.42
Nusa Tenggara Timur,1973,14.22
Kalimantan Barat,1973,12.3
Kalimantan Tengah,1973,11.91
Kalimantan Selatan,1973,18.28
Kalimantan Timur,1973,13.24
Kalimantan Utara,1973,0
Sulawesi Utara,1973,23.18
Sulawesi Tengah,1973,19.65
Sulawesi Selatan,1973,25.05
Sulawesi Tenggara,1973,15.55
Gorontalo,1973,0
Sulawesi Barat,1973,0
Maluku,1973,6.54
Maluku Utara,1973,0
